Conc,ID,Day1,Day2,Day3,Day4,Day0,Day1,Day2,Day3,Day4
100uM,100uM_1,0,0,0,0,1,0,0,0,0
100uM,100uM_2,0,0,0,0,1,0,0,0,0
100uM,100uM_3,1,1,0,0,1,0.2,0.2,0,0
100uM,100uM_4,0,0,0,0,1,0,0,0,0
100uM,100uM_5,1,1,0,0,1,0.2,0.2,0,0
50uM,50uM_1,4,3,3,2,1,0.8,0.6,0.6,0.4
50uM,50uM_2,3,1,1,0,1,0.6,0.2,0.2,0
50uM,50uM_3,4,3,2,1,1,0.8,0.6,0.4,0.2
50uM,50uM_4,4,3,3,2,1,0.8,0.6,0.6,0.4
50uM,50uM_5,5,3,2,1,1,1,0.6,0.4,0.2
25uM,25uM_b_1,5,4,1,1,1,1,0.8,0.2,0.2
25uM,25uM_b_2,5,5,4,2,1,1,1,0.8,0.4
25uM,25uM_b_3,3,3,3,1,1,0.6,0.6,0.6,0.2
25uM,25uM_b_4,5,5,4,3,1,1,1,0.8,0.6
25uM,25uM_b_5,4,3,2,2,1,0.8,0.6,0.4,0.4
10uM,10uM_1,5,5,4,4,1,1,1,0.8,0.8
10uM,10uM_2,4,4,4,4,1,0.8,0.8,0.8,0.8
10uM,10uM_3,5,5,4,4,1,1,1,0.8,0.8
10uM,10uM_4,5,5,5,5,1,1,1,1,1
10uM,10uM_5,5,5,4,4,1,1,1,0.8,0.8
2uM,2uM_1,5,5,5,4,1,1,1,1,0.8
2uM,2uM_2,5,5,5,5,1,1,1,1,1
2uM,2uM_3,5,5,5,5,1,1,1,1,1
2uM,2uM_4,5,5,5,5,1,1,1,1,1
2uM,2uM_5,5,5,5,5,1,1,1,1,1
1uM,1uM_1,5,5,5,5,1,1,1,1,1
1uM,1uM_2,5,5,5,5,1,1,1,1,1
1uM,1uM_3,5,5,5,5,1,1,1,1,1
1uM,1uM_4,5,5,5,5,1,1,1,1,1
1uM,1uM_5,5,5,5,5,1,1,1,1,1
0.5uM,0.5uM_1,5,5,5,5,1,1,1,1,1
0.5uM,0.5uM_2,5,5,5,5,1,1,1,1,1
0.5uM,0.5uM_3,5,5,5,5,1,1,1,1,1
0.5uM,0.5uM_4,5,5,5,5,1,1,1,1,1
0.5uM,0.5uM_5,5,5,5,5,1,1,1,1,1
0uM,0uM_1,5,4,4,4,1,1,0.8,0.8,0.8
0uM,0uM_2,5,4,4,4,1,1,0.8,0.8,0.8
0uM,0uM_3,5,5,5,5,1,1,1,1,1
0uM,0uM_4,5,5,5,5,1,1,1,1,1
0uM,0uM_5,5,5,5,3,1,1,1,1,0.6
