Group,Sex,Days,Slope_ppm_per_min,Number_of_pods,Weight_mg,Resp,ID
10uM,Male,7,-0.64,3,0.031,-20.64516129,DNP Male
10uM,Male,7,-1.47,3,0.031,-47.41935484,DNP Male
10uM,Male,7,-1.02,3,0.038,-26.84210526,DNP Male
Control,Male,7,-1.32,3,0.029,-45.51724138,Control Male
Control,Male,7,-0.6,3,0.038,-15.78947368,Control Male
Control,Male,7,-0.76,3,0.044,-17.27272727,Control Male
10uM,Female,7,-0.83,3,0.026,-31.92307692,DNP Female
10uM,Female,7,-1.49,3,0.025,-59.6,DNP Female
10uM,Female,7,-0.91,3,0.025,-36.4,DNP Female
10uM,Male,7,-2.84,3,0.03,-94.66666667,DNP Male
10uM,Male,7,-1.94,3,0.031,-62.58064516,DNP Male
Control,Female,7,-0.43,3,0.022,-19.54545455,Control Female
Control,Female,7,-0.65,3,0.024,-27.08333333,Control Female
Control,Male,7,-1.31,3,0.023,-56.95652174,Control Male
10uM,Female,7,-2.4,3,0.042,-57.14285714,DNP Female
10uM,Female,7,-1.45,3,0.036,-40.27777778,DNP Female
10uM,Male,7,-2.02,3,0.046,-43.91304348,DNP Male
10uM,Male,7,-1.63,3,0.026,-62.69230769,DNP Male
10uM,Male,7,-1.06,3,0.027,-39.25925926,DNP Male
Control,Female,7,-2.01,3,0.03,-67,Control Female
Control,Female,7,-1.06,3,0.04,-26.5,Control Female
Control,Female,7,-1.79,3,0.034,-52.64705882,Control Female
Control,Female,7,-1.36,3,0.038,-35.78947368,Control Female
Control,Female,7,-1.75,3,0.031,-56.4516129,Control Female
10uM,Female,7,-0.43,3,0.023,-18.69565217,DNP Female
10uM,Female,7,-1.2,3,0.027,-44.44444444,DNP Female
10uM,Female,7,-1.24,3,0.026,-47.69230769,DNP Female
10uM,Male,7,-0.5,3,0.026,-19.23076923,DNP Male
10uM,Male,7,-0.68,3,0.027,-25.18518519,DNP Male
10uM,Male,7,-1.05,3,0.034,-30.88235294,DNP Male
Control,Female,7,-0.4,3,0.02,-20,Control Female
Control,Female,7,-2.09,3,0.031,-67.41935484,Control Female
Control,Female,7,-1.14,3,0.021,-54.28571429,Control Female
Control,Male,7,-0.89,3,0.028,-31.78571429,Control Male
Control,Male,7,-1.02,3,0.033,-30.90909091,Control Male
Control,Male,7,-0.54,3,0.022,-24.54545455,Control Male
