Group,Sex,Days,Slope_mmol_per_min,Number_of_pods_resp,foil,foilpods,Weight_mg,resp.final,ID
Control,Female,7,-0.944130564,3,13.121,13.158,0.037,-25.51704227,Control Female
Control,Female,7,-0.425741769,3,15.016,15.056,0.04,-10.64354424,Control Female
Control,Female,7,-0.908256334,3,15.57,15.622,0.052,-17.46646796,Control Female
2uM,Female,7,-0.455450481,3,14.044,14.099,0.055,-8.280917836,DNP Female
2uM,Female,7,-1.236355507,3,14.002,14.056,0.054,-22.89547236,DNP Female
2uM,Female,7,-0.478639751,3,13.704,13.764,0.06,-7.977329179,DNP Female
2uM,Female,7,-0.911193605,3,14.036,14.08,0.044,-20.70894557,DNP Female
2uM,Male,7,-0.713800298,3,13.09,13.125,0.035,-20.39429423,DNP Male
2uM,Male,7,-0.632686628,3,13.084,13.133,0.049,-12.911972,DNP Male
2uM,Male,7,-0.940029806,3,13.78,13.825,0.045,-20.88955125,DNP Male
2uM,Male,7,-1.129090909,3,14.822,14.867,0.045,-25.09090909,DNP Male
Control,Female,7,-0.280597932,3,8.649,8.692,0.043,-6.525533294,Control Female
Control,Female,7,-0.568317753,3,8.678,8.706,0.028,-20.2970626,Control Female
Control,Female,7,-0.772076051,3,8.338,8.375,0.037,-20.8669203,Control Female
Control,Female,7,-0.524621777,3,9.562,9.616,0.054,-9.715218086,Control Female
Control,Female,7,-0.564795195,3,8.933,8.983,0.05,-11.2959039,Control Female
Control,Male,7,-0.625044484,3,9.609,9.643,0.034,-18.38366128,Control Male
Control,Male,7,0.296508152,3,11.363,11.404,0.041,7.231906136,Control Male
Control,Male,7,-0.662716886,3,9.575,9.619,0.044,-15.0617474,Control Male
Control,Male,7,-0.956668925,3,9.738,9.79,0.052,-18.39747932,Control Male
2uM,Female,7,-0.284640744,3,11.598,11.646,0.048,-5.930015505,DNP Female
2uM,Female,7,-0.712038116,3,10.553,10.598,0.045,-15.82306924,DNP Female
2uM,Female,7,-0.525423836,3,11.557,11.613,0.056,-9.3825685,DNP Female
2uM,Female,7,-0.217538726,3,8.825,8.863,0.038,-5.724703304,DNP Female
2uM,Female,7,-1.30929594,3,8.813,8.858,0.045,-29.09546533,DNP Female
2uM,Male,7,-0.918278463,3,8.979,9.033,0.054,-17.00515672,DNP Male
2uM,Male,7,-0.905437384,3,10.176,10.216,0.04,-22.63593461,DNP Male
2uM,Male,7,-1.175820801,3,8.885,8.918,0.033,-35.63093337,DNP Male
2uM,Male,7,-0.950927155,3,9.464,9.506,0.042,-22.64112275,DNP Male
Control,Female,7,-0.626052664,3,9.303,9.347,0.044,-14.22846963,Control Female
Control,Male,7,-1.060053636,3,8.945,8.984,0.039,-27.18086247,Control Male
Control,Male,7,-0.73548943,3,8.572,8.601,0.029,-25.3617045,Control Male
Control,Male,7,-1.071996132,3,7.466,7.498,0.032,-33.49987913,Control Male
2uM,Female,7,-1.327163852,3,8.597,8.633,0.036,-36.86566256,DNP Female
2uM,Female,7,-0.812461442,3,8.75,8.793,0.043,-18.89445215,DNP Female
2uM,Female,7,-1.671736392,3,9.2,9.247,0.047,-35.5688594,DNP Female
2uM,Male,7,-0.663987243,3,7.624,7.662,0.038,-17.47334849,DNP Male
2uM,Male,7,-1.5048123,3,7.956,8,0.044,-34.20027955,DNP Male
2uM,Male,7,-1.181846816,3,8.157,8.194,0.037,-31.94180585,DNP Male
2uM,Male,7,-1.252576728,3,8.585,8.626,0.041,-30.5506519,DNP Male
2uM,Male,7,-0.631210637,3,9.871,9.916,0.045,-14.02690305,DNP Male
2uM,Male,7,-0.590931542,3,9.509,9.553,0.044,-13.43026233,DNP Male
2uM,Male,7,-0.343989394,3,9.013,9.055,0.042,-8.190223658,DNP Male
2uM,Male,7,-1.389904581,3,9.727,9.772,0.045,-30.88676847,DNP Male
Control,Male,7,-0.330636189,3,9.304,9.345,0.041,-8.064297304,Control Male
Control,Male,7,-0.630782511,3,10.473,10.512,0.039,-16.17391054,Control Male
Control,Male,7,-1.151850117,3,8.537,8.583,0.046,-25.04021994,Control Male
Control,Male,7,-0.786777634,3,9.027,9.074,0.047,-16.73994965,Control Male
2uM,Male,7,-1.305257514,3,8.033,8.083,0.05,-26.10515029,DNP Male
2uM,Female,7,-0.894830743,3,7.797,7.843,0.046,-19.45284224,DNP Female
2uM,Male,7,-1.725094935,3,7.824,7.879,0.055,-31.36536245,DNP Male
2uM,Female,7,-1.078141947,3,8.264,8.327,0.063,-17.11336425,DNP Female
Control,Male,7,-0.7895171,3,7.388,7.44,0.052,-15.18302115,Control Male
Control,Female,7,-1.188102657,3,7.556,7.604,0.048,-24.7521387,Control Female
Control,Female,7,-0.701111735,3,7.882,7.944,0.062,-11.30825379,Control Female
Control,Male,7,-1.052917723,3,8.68,8.735,0.055,-19.1439586,Control Male
Control,Male,7,-1.113153464,3,8.149,8.199,0.05,-22.26306927,Control Male
Control,Female,7,-0.727382099,3,10.082,10.125,0.043,-16.91586277,Control Female
Control,Female,7,-0.698115062,3,9.582,9.642,0.06,-11.63525103,Control Female
Control,Male,7,-0.898285771,3,9.241,9.289,0.048,-18.71428689,Control Male
Control,Male,7,-1.128200416,3,10.195,10.247,0.052,-21.69616185,Control Male
