time,st.mix,3HE,sample.37.dnp.2um.algae,sample.194.control.2um.algae,sample.47.control.yeast,sample.54.2um.yeast,sample.110.10um.3day.control
0,3,-8,0,3,2,1,4
0.00833,2,-8,0,3,2,1,4
0.01667,2,-8,0,1,1,0,-1
0.025,2,-8,-1,0,0,1,-1
0.03333,3,-9,0,0,0,1,-1
0.04167,2,-9,-2,0,0,-1,1
0.05,2,-9,-2,0,0,-1,1
0.05833,2,-10,-1,0,0,-1,2
0.06667,1,-10,0,-1,0,0,2
0.075,2,-9,0,-3,-1,0,2
0.08333,2,-9,0,-4,-1,0,2
0.09167,1,-9,1,-4,0,-1,2
0.1,1,-8,1,-4,0,-1,0
0.10833,2,-8,1,-3,-2,0,-1
0.11667,2,-8,1,-3,-2,0,-1
0.125,1,-8,2,-2,-2,0,0
0.13333,1,-9,1,-1,-2,0,1
0.14167,0,-11,0,-1,-2,-1,2
0.15,-1,-12,-1,-1,-2,-1,2
0.15833,-1,-12,-1,-1,-3,-2,3
0.16667,-1,-12,0,-1,-2,-2,4
0.175,0,-12,0,-1,-1,-1,3
0.18333,1,-13,1,-1,0,-1,2
0.19167,0,-13,2,-2,-1,-1,1
0.2,-1,-13,1,-2,-2,-1,2
0.20833,-2,-13,1,-1,-2,-1,2
0.21667,-2,-13,1,0,-1,-1,3
0.225,-1,-14,2,-1,-1,-1,3
0.23333,-1,-14,3,-1,-1,-1,3
0.24167,-1,-14,2,-1,-1,-1,3
0.25,0,-14,2,-1,-1,-2,3
0.25833,0,-14,2,-1,-1,-3,3
0.26667,0,-13,1,-2,-1,-4,2
0.275,0,-14,1,-2,-1,-4,2
0.28333,0,-14,2,-2,0,-4,2
0.29167,0,-14,1,-2,-1,-3,3
0.3,1,-14,1,-2,-1,-3,2
0.30833,2,-15,1,-3,-1,-3,2
0.31667,2,-16,1,-3,-1,-4,3
0.325,1,-17,0,-2,0,-4,2
0.33333,1,-17,0,-2,-1,-4,2
0.34167,0,-17,-1,-3,-2,-4,1
0.35,-1,-16,-2,-3,-2,-3,1
0.35833,-1,-16,-3,-3,-1,-2,2
0.36667,-2,-17,-3,-3,-1,-1,3
0.375,-2,-18,-3,-3,-1,-1,3
0.38333,-3,-18,-3,-2,-3,-2,3
0.39167,-3,-18,-3,-3,-4,-3,3
0.4,-4,-18,-2,-4,-4,-2,3
0.40833,-3,-19,-1,-5,-3,-1,2
0.41667,-3,-20,-1,-5,-2,-2,2
0.425,-3,-21,-1,-4,-1,-2,2
0.43333,-3,-21,-1,-3,-2,-3,2
0.44167,-4,-22,-2,-3,-3,-3,2
0.45,-5,-21,-2,-5,-3,-3,1
0.45833,-5,-21,-2,-4,-3,-3,1
0.46667,-5,-22,-3,-4,-3,-4,1
0.475,-5,-24,-2,-3,-2,-4,1
0.48333,-4,-26,-2,-2,-2,-3,0
0.49167,-4,-27,-1,-3,-2,-3,0
0.5,-5,-28,0,-3,-2,-3,0
0.50833,-6,-28,1,-5,-2,-4,0
0.51667,-6,-29,1,-5,-2,-5,1
0.525,-7,-28,-1,-5,-2,-6,-1
0.53333,-7,-27,-2,-5,-2,-6,-1
0.54167,-6,-27,-2,-4,-3,-6,-1
0.55,-5,-28,-2,-3,-4,-6,-2
0.55833,-5,-29,-3,-3,-4,-6,-2
0.56667,-6,-30,-4,-4,-4,-5,-2
0.575,-7,-30,-3,-5,-4,-4,-2
0.58333,-7,-31,-3,-5,-5,-4,-2
0.59167,-7,-32,-5,-5,-6,-4,-2
0.6,-7,-31,-6,-5,-6,-6,-1
0.60833,-7,-31,-6,-6,-5,-8,-1
0.61667,-6,-30,-5,-7,-5,-8,-1
0.625,-6,-29,-5,-6,-5,-8,-2
0.63333,-7,-28,-5,-6,-5,-6,-3
0.64167,-7,-29,-6,-6,-6,-6,-3
0.65,-8,-30,-7,-7,-6,-7,-2
0.65833,-7,-31,-7,-9,-5,-8,-3
0.66667,-7,-32,-7,-11,-5,-8,-4
0.675,-6,-33,-7,-10,-7,-9,-4
0.68333,-7,-33,-6,-9,-8,-8,-3
0.69167,-8,-33,-6,-9,-8,-8,-3
0.7,-8,-34,-7,-9,-7,-8,-4
0.70833,-9,-34,-7,-9,-7,-8,-5
0.71667,-9,-34,-6,-10,-7,-9,-6
0.725,-10,-35,-6,-11,-8,-9,-6
