HPLC.ID,sex,treatment,ID,conc.dnp,diet,days,Astaxanthin,B-Carotene,Hydroxyechinenone,volume,mass,asta.conc,b.carot.conc,hydroxy.conc,dietary.conc,ratio.conc,resp.min.mg,resp.min
1,F,Control,Control Female,2uM,yeast,7,0.35254,0.00344,0.03607,0.05,0.037,0.476405405,0.004648649,0.048743243,0.053391892,0.899222038,-25.51704227,-0.944130564
2,F,Control,Control Female,2uM,yeast,7,0.33217,0,0.01851,0.05,0.04,0.4152125,0,0.0231375,0.0231375,0.947216836,-10.64354424,-0.42574177
3,F,Control,Control Female,2uM,yeast,7,0.328,0,0.02323,0.05,0.052,0.315384615,0,0.022336538,0.022336538,0.933861004,-17.46646796,-0.908256334
4,F,DNP,DNP Female,2uM,yeast,7,0.49132,0,0.04621,0.05,0.055,0.446654545,0,0.042009091,0.042009091,0.914032705,-8.280917836,-0.455450481
5,F,DNP,DNP Female,2uM,yeast,7,0.49802,0,0.03582,0.05,0.054,0.46112963,0,0.033166667,0.033166667,0.932901243,-22.89547236,-1.236355507
6,M,DNP,DNP Male,2uM,yeast,7,0.59383,0,0.03039,0.05,0.06,0.494858333,0,0.025325,0.025325,0.951315241,-7.977329179,-0.478639751
7,M,DNP,DNP Male,2uM,yeast,7,0.4146,0,0.03538,0.05,0.044,0.471136364,0,0.040204545,0.040204545,0.921374284,-20.70894557,-0.911193605
8,M,DNP,DNP Male,2uM,yeast,7,0.18158,0,0,0.05,0.035,0.2594,0,0,0,1,-20.39429423,-0.713800298
9,M,DNP,DNP Male,2uM,yeast,7,0.55745,0,0.01379,0.05,0.049,0.568826531,0,0.014071429,0.014071429,0.975859533,-12.911972,-0.632686628
10,M,DNP,DNP Male,2uM,yeast,7,0.20288,0,0,0.05,0.045,0.225422222,0,0,0,1,-20.88955125,-0.940029806
11,F,Control,Control Female,2uM,yeast,7,0.40911,0,0.02733,0.05,0.043,0.475709302,0,0.03177907,0.03177907,0.937379708,-6.525533294,-0.280597932
